当前时刻	小车位置	摆杆偏角	指标11	指标12	指标2	估计误差能量	
1.220000	-0.039180	-0.017453	0.016487	0.017755	0.000014	0.000021
1.230000	-0.040222	-0.012467	0.000506	0.000684	0.000007	0.000019
1.240000	-0.041204	-0.008727	0.001103	0.002608	0.000022	0.000023
1.250000	-0.042161	-0.008727	0.006208	0.001059	0.000036	0.000028
1.259000	-0.043130	-0.017453	0.013691	0.013645	0.000024	0.000021
1.270000	-0.044185	-0.017453	0.015711	0.017720	0.000018	0.000018
1.280000	-0.045092	-0.017453	0.011422	0.011239	0.000017	0.000018
1.290000	-0.045914	-0.017453	0.010361	0.011255	0.000001	0.000013
1.299000	-0.046748	-0.013575	0.003896	0.003651	0.000008	0.000010
1.310000	-0.047668	-0.013575	0.000308	0.004484	0.000010	0.000008
1.320000	-0.048490	-0.022440	0.003524	0.010835	0.000004	0.000014
1.330000	-0.049287	-0.008727	0.014652	0.017500	0.000039	0.000027
1.340000	-0.050011	-0.008727	0.026449	0.015188	0.000065	0.000038
1.350000	-0.050759	-0.022440	0.032771	0.030966	0.000086	0.000047
1.360000	-0.051446	-0.022440	0.026173	0.026329	0.000100	0.000053
1.370000	-0.052121	-0.022440	0.019441	0.019539	0.000093	0.000050
1.380000	-0.052796	-0.017453	0.002251	0.003754	0.000056	0.000035
1.390000	-0.053532	-0.017453	0.008443	0.010777	0.000030	0.000025
1.400000	-0.054170	-0.013575	0.012162	0.011549	0.000016	0.000018
1.410000	-0.054746	-0.013575	0.010037	0.011797	0.000006	0.000014
1.420000	-0.055286	-0.013575	0.004105	0.002828	0.000001	0.000011
1.430000	-0.055838	-0.013575	0.002095	0.001753	0.000004	0.000013
1.440000	-0.056316	-0.021332	0.000186	0.001040	0.000018	0.000018
1.450000	-0.056807	-0.021332	0.006973	0.008216	0.000017	0.000018
1.460000	-0.057298	-0.013575	0.000817	0.002099	0.000016	0.000018
1.470000	-0.057837	-0.019947	0.003399	0.005973	0.000015	0.000017
1.480000	-0.058316	-0.019947	0.001993	0.003026	0.000015	0.000017
1.490000	-0.058757	-0.022440	0.000810	0.006296	0.000010	0.000015
1.500000	-0.059174	-0.022440	0.009544	0.004124	0.000007	0.000014
1.509000	-0.059542	-0.024435	0.005099	0.002334	0.000012	0.000016
1.520000	-0.059910	-0.013575	0.013296	0.028453	0.000028	0.000023
1.530000	-0.060217	-0.013575	0.010702	0.010994	0.000039	0.000028
1.540000	-0.060475	-0.022440	0.010010	0.008382	0.000038	0.000027
1.549000	-0.060708	-0.026180	0.009972	0.021125	0.000060	0.000035
1.560000	-0.060941	-0.026180	0.017192	0.017940	0.000067	0.000038
1.570000	-0.061113	-0.024933	0.010891	0.018126	0.000055	0.000033
1.580000	-0.061272	-0.022440	0.010377	0.012075	0.000042	0.000027
1.590000	-0.061382	-0.022440	0.006296	0.007047	0.000033	0.000024
1.600000	-0.061456	-0.017453	0.002901	0.001687	0.000012	0.000016
1.610000	-0.061468	-0.017453	0.003507	0.000976	0.000005	0.000009
1.620000	-0.061481	-0.017453	0.000389	0.000061	0.000011	0.000007
1.630000	-0.061468	-0.013575	0.006939	0.010263	0.000000	0.000013
