当前时刻	小车位置	摆杆偏角	指标1	指标2	
3.270000	-0.102930	-0.008727	0.011812	0.000080
3.280000	-0.103457	-0.008727	0.017462	0.000074
3.290000	-0.103776	-0.021332	0.017395	0.000122
3.300000	-0.103911	-0.017453	0.015779	0.000130
3.310000	-0.103985	-0.017453	0.015773	0.000138
3.320000	-0.104021	-0.031416	0.009075	0.000300
3.330000	-0.104058	-0.031416	0.004223	0.000412
3.340000	-0.104144	-0.021332	0.006256	0.000351
3.350000	-0.104377	-0.021332	0.008258	0.000331
3.360000	-0.104696	-0.021332	0.005939	0.000313
3.370000	-0.105039	-0.026180	0.010736	0.000136
3.380000	-0.105248	-0.038397	0.036755	0.000119
3.390000	-0.105407	-0.038397	0.038861	0.000169
3.400000	-0.105690	-0.017453	0.035626	0.000260
3.410000	-0.106107	-0.026180	0.037378	0.000267
3.420000	-0.106475	-0.026180	0.040789	0.000262
3.430000	-0.106720	-0.034907	0.002660	0.000158
3.440000	-0.106818	-0.021332	0.004472	0.000150
3.450000	-0.106818	-0.021332	0.009988	0.000092
3.460000	-0.106830	-0.034907	0.006339	0.000092
3.471000	-0.106879	-0.034907	0.005448	0.000085
3.480000	-0.107014	-0.026180	0.003337	0.000104
3.490000	-0.107113	-0.034907	0.011009	0.000067
3.500000	-0.107063	-0.034907	0.012845	0.000045
3.511000	-0.106806	-0.031416	0.007413	0.000046
3.520000	-0.106278	-0.030543	0.008191	0.000051
3.530000	-0.105579	-0.030543	0.003880	0.000027
3.540000	-0.104770	-0.031416	0.007740	0.000018
3.550000	-0.103997	-0.034907	0.001939	0.000017
3.560000	-0.103236	-0.034907	0.010319	0.000023
3.570000	-0.102647	-0.017453	0.011158	0.000125
3.580000	-0.102157	-0.027427	0.010920	0.000126
3.590000	-0.101654	-0.027427	0.006855	0.000124
3.600000	-0.101004	-0.020362	0.016449	0.000132
3.610000	-0.100243	-0.008727	0.016756	0.000238
3.620000	-0.099286	-0.008727	0.028534	0.000184
3.630000	-0.098047	-0.008727	0.029278	0.000197
3.640000	-0.096477	-0.008727	0.027121	0.000198
3.650000	-0.095018	-0.008727	0.020908	0.000179
3.660000	-0.093779	-0.012467	0.017604	0.000076
3.670000	-0.092871	-0.012467	0.012158	0.000040
3.680000	-0.092172	-0.004987	0.010310	0.000054
3.690000	-0.091706	0.000000	0.015149	0.000100
