当前时刻	小车位置	摆杆偏角	残差范数	
2.241000	-0.142600	-0.017453	0.001219
2.250000	-0.141631	-0.004987	0.012614
2.260000	-0.140637	-0.004987	0.009536
2.271000	-0.139595	-0.008727	0.003203
2.281000	-0.138650	-0.008727	0.001732
2.290000	-0.137718	-0.017453	0.008163
2.300000	-0.136786	0.000000	0.009996
2.310000	-0.135841	0.000000	0.007589
2.321000	-0.134860	-0.008727	0.003166
2.331000	-0.134001	0.000000	0.005501
2.340000	-0.133167	0.000000	0.003986
2.350000	-0.132357	0.000000	0.002763
2.361000	-0.131474	-0.008727	0.006927
2.371000	-0.130677	-0.008727	0.006092
2.380000	-0.129904	0.000000	0.003452
2.390000	-0.129193	0.000000	0.002641
2.401000	-0.128420	0.000000	0.001960
2.411000	-0.127757	0.000000	0.001405
2.420000	-0.127070	0.000000	0.000966
2.430000	-0.126371	-0.008727	0.008112
2.441000	-0.125598	-0.008727	0.006801
2.451000	-0.124911	-0.008727	0.005630
2.460000	-0.124261	0.000000	0.004112
2.470000	-0.123611	0.000000	0.003399
2.481000	-0.122875	0.000000	0.002736
2.491000	-0.122188	0.000000	0.002149
2.500000	-0.121489	0.000000	0.001642
2.510000	-0.120765	0.000000	0.001214
2.521000	-0.119956	0.000000	0.000865
2.531000	-0.119244	0.000000	0.000591
2.540000	-0.118582	-0.004987	0.004609
2.550000	-0.117907	-0.008727	0.007613
2.560000	-0.117257	-0.008727	0.006284
2.571000	-0.116509	0.000000	0.003593
2.581000	-0.115797	0.000000	0.002992
2.590000	-0.115061	0.000000	0.002424
2.600000	-0.114350	-0.004987	0.003081
2.611000	-0.113577	0.000000	0.002346
2.621000	-0.112878	0.000000	0.001836
2.630000	-0.112154	0.000000	0.001388
2.640000	-0.111418	0.000000	0.001004
2.651000	-0.110572	0.000000	0.000687
2.661000	-0.109823	0.000000	0.000429
2.670000	-0.109087	0.000000	0.000224
2.680000	-0.108364	0.000000	0.000067
2.691000	-0.107591	-0.004987	0.005051
2.701000	-0.106892	-0.004987	0.004246
2.710000	-0.106180	-0.008727	0.007277
2.720000	-0.105432	0.000000	0.002725
2.731000	-0.104586	0.000000	0.002238
2.741000	-0.103837	0.000000	0.001771
2.750000	-0.103114	0.000000	0.001342
2.760000	-0.102365	0.000000	0.000961
2.771000	-0.101507	0.000000	0.000623
2.781000	-0.100697	0.000000	0.000343
2.790000	-0.099887	-0.008727	0.008615
2.800000	-0.099066	0.000000	0.001491
2.810000	-0.098293	0.000000	0.001131
2.821000	-0.097446	0.000000	0.000799
2.831000	-0.096661	0.000000	0.000502
2.840000	-0.095852	0.000000	0.000244
2.850000	-0.095005	0.000000	0.000026
2.861000	-0.094085	0.000000	0.000194
2.871000	-0.093263	0.000000	0.000319
2.880000	-0.092466	0.000000	0.000432
2.890000	-0.091681	0.000000	0.000529
2.901000	-0.090773	0.000000	0.000607
2.911000	-0.089939	0.000000	0.000665
2.920000	-0.089093	0.000000	0.000710
2.930000	-0.088295	0.000000	0.000746
2.941000	-0.087412	0.000000	0.000775
2.951000	-0.086615	0.000000	0.000798
2.960000	-0.085818	0.000000	0.000821
2.970000	-0.084959	0.000000	0.000836
2.981000	-0.084039	0.000000	0.000850
2.991000	-0.083205	0.000000	0.000864
3.000000	-0.082395	0.000000	0.000880
3.010000	-0.081598	0.000000	0.000900
3.021000	-0.080678	0.000000	0.000909
3.031000	-0.079831	0.000000	0.000925
3.040000	-0.078961	0.000000	0.000941
3.050000	-0.078114	0.004987	0.004029
3.060000	-0.077280	0.004987	0.003118
3.071000	-0.076372	0.000000	0.002661
3.081000	-0.075514	0.004987	0.002553
3.090000	-0.074643	0.004987	0.001884
3.100000	-0.073772	0.000000	0.003666
3.111000	-0.072852	0.000000	0.003234
3.121000	-0.072054	0.000000	0.002826
3.130000	-0.071245	0.014544	0.012081
3.140000	-0.070423	0.014544	0.009786
3.151000	-0.069478	0.000000	0.006754
3.161000	-0.068657	0.000000	0.005826
3.170000	-0.067859	0.000000	0.004949
3.180000	-0.067099	0.004363	0.000214
3.191000	-0.066289	0.004987	0.000745
3.201000	-0.065553	0.004987	0.000543
3.210000	-0.064793	0.000000	0.004626
3.220000	-0.063995	0.000000	0.003890
3.231000	-0.063149	0.000000	0.003251
3.241000	-0.062401	0.002909	0.000202
3.250000	-0.061652	0.002909	0.000159
3.260000	-0.060916	0.027925	0.025025
3.271000	-0.060045	0.005818	0.001683
3.281000	-0.059236	0.005818	0.001708
3.290000	-0.058438	0.004987	0.002473
3.300000	-0.057690	0.000000	0.007182
3.310000	-0.057015	0.000000	0.005998
3.321000	-0.056279	0.014544	0.009602
3.331000	-0.055605	0.004987	0.001654
3.340000	-0.054906	0.004987	0.001432
3.350000	-0.054194	0.004987	0.001221
3.361000	-0.053446	0.004987	0.001031
3.371000	-0.052820	0.004987	0.000860
3.380000	-0.052195	0.000000	0.005703
3.390000	-0.051581	0.000000	0.004691
3.401000	-0.050919	0.004987	0.001174
3.411000	-0.050257	0.000000	0.003990
3.420000	-0.049570	0.000000	0.003279
3.430000	-0.048870	0.004987	0.002300
3.441000	-0.048110	0.008727	0.005618
3.451000	-0.047460	0.008727	0.004545
3.460000	-0.046785	0.009973	0.004841
3.470000	-0.046110	0.009973	0.003803
3.481000	-0.045350	0.009973	0.002933
3.491000	-0.044651	0.014544	0.006795
3.500000	-0.043976	0.014544	0.005414
3.510000	-0.043326	0.026180	0.015908
3.521000	-0.042663	0.026180	0.012909
3.531000	-0.042136	0.026180	0.010395
3.540000	-0.041645	0.034907	0.017072
3.550000	-0.041241	0.023271	0.002279
3.560000	-0.040897	0.023271	0.001794
3.571000	-0.040603	0.026180	0.004443
3.581000	-0.040419	0.031416	0.009103
3.590000	-0.040333	0.031416	0.007810
3.600000	-0.040308	0.014544	0.010077
3.611000	-0.040321	0.039270	0.016943
3.621000	-0.040321	0.039270	0.014604
3.630000	-0.040370	0.023271	0.003412
3.640000	-0.040566	0.023271	0.002171
3.651000	-0.040946	0.043633	0.019438
3.661000	-0.041412	0.034907	0.008163
3.670000	-0.041964	0.034907	0.007559
3.680000	-0.042565	0.031416	0.003636
3.691000	-0.043301	0.008727	0.018709
3.701000	-0.044050	0.008727	0.014253
3.710000	-0.044896	0.002909	0.016147
3.720000	-0.045828	0.002909	0.011747
3.731000	-0.046908	0.021817	0.010892
3.741000	-0.047852	0.023271	0.011999
3.750000	-0.048748	0.021817	0.009790
3.760000	-0.049606	0.021817	0.009262
3.771000	-0.050600	0.002909	0.010192
3.781000	-0.051520	0.002909	0.007281
3.790000	-0.052477	0.002909	0.004771
3.800000	-0.053421	0.000000	0.005564
3.810000	-0.054329	0.000000	0.003306
3.821000	-0.055359	0.008727	0.007271
3.831000	-0.056292	0.000000	0.001577
3.840000	-0.057224	0.000000	0.000301
3.850000	-0.058095	0.000000	0.000873
3.861000	-0.059039	0.000000	0.001702
3.871000	-0.059886	0.000000	0.002323
3.880000	-0.060720	-0.008727	0.005948
3.890000	-0.061591	-0.008727	0.004061
3.901000	-0.062523	-0.008727	0.002499
3.911000	-0.063333	-0.004987	0.002520
3.920000	-0.064093	-0.004987	0.002845
3.930000	-0.064829	0.000000	0.008014
3.941000	-0.065639	0.000000	0.007197
3.951000	-0.066350	0.000000	0.006424
3.960000	-0.067086	-0.012467	0.006740
3.970000	-0.067798	-0.012467	0.005112
3.981000	-0.068558	-0.022440	0.013664
3.991000	-0.069233	-0.017453	0.005685
4.000000	-0.069883	-0.013575	0.000167
4.010000	-0.070509	-0.013575	0.000457
4.021000	-0.071208	-0.013575	0.000888
4.031000	-0.071821	-0.013575	0.001154
4.040000	-0.072373	-0.013575	0.001290
4.050000	-0.072864	-0.008727	0.006175
4.060000	-0.073306	-0.008727	0.005287
4.071000	-0.073747	-0.022440	0.009241
4.081000	-0.074127	-0.004987	0.009951
4.090000	-0.074508	-0.004987	0.008327
