当前时刻	小车位置	摆杆偏角	指标11	指标12	指标2	估计误差能量	
2.120000	-0.057899	-0.017453	0.000036	0.000047	0.000099	0.000051
2.130000	-0.058659	-0.008727	0.000041	0.000040	0.000098	0.000051
2.139000	-0.059395	-0.008727	0.000032	0.000031	0.000092	0.000049
2.149000	-0.060180	-0.004987	0.000029	0.000040	0.000068	0.000040
2.160000	-0.061039	0.000000	0.000007	0.000019	0.000082	0.000045
2.170000	-0.061824	0.000000	0.000042	0.000025	0.000057	0.000032
2.179000	-0.062585	-0.008727	0.000037	0.000028	0.000059	0.000033
2.189000	-0.063321	-0.008727	0.000040	0.000034	0.000059	0.000034
2.200000	-0.064118	-0.012467	0.000043	0.000028	0.000058	0.000034
2.210000	-0.064866	-0.008727	0.000055	0.000052	0.000016	0.000018
2.219000	-0.065627	-0.008727	0.000003	0.000003	0.000014	0.000006
2.229000	-0.066436	-0.004987	0.000039	0.000014	0.000004	0.000010
2.239000	-0.067234	-0.004987	0.000049	0.000069	0.000005	0.000013
2.250000	-0.068068	-0.004987	0.000043	0.000042	0.000004	0.000011
2.259000	-0.068791	-0.012467	0.000060	0.000067	0.000011	0.000014
2.269000	-0.069515	-0.017453	0.000046	0.000039	0.000039	0.000027
2.279000	-0.070251	-0.017453	0.000009	0.000001	0.000044	0.000032
2.290000	-0.071098	-0.004987	0.000042	0.000080	0.000065	0.000040
2.299000	-0.071883	-0.017453	0.000051	0.000046	0.000071	0.000043
2.309000	-0.072594	-0.017453	0.000045	0.000060	0.000072	0.000044
2.319000	-0.073281	-0.012467	0.000036	0.000028	0.000045	0.000031
2.330000	-0.073993	-0.012467	0.000025	0.000019	0.000031	0.000024
2.339000	-0.074606	-0.008727	0.000022	0.000011	0.000016	0.000018
2.349000	-0.075207	-0.008727	0.000019	0.000009	0.000014	0.000016
2.359000	-0.075796	-0.008727	0.000002	0.000006	0.000016	0.000016
2.370000	-0.076483	-0.004987	0.000049	0.000042	0.000040	0.000026
2.380000	-0.077096	-0.004987	0.000082	0.000081	0.000056	0.000033
2.389000	-0.077673	-0.004987	0.000058	0.000071	0.000053	0.000033
2.399000	-0.078225	-0.008727	0.000045	0.000046	0.000042	0.000028
2.410000	-0.078850	-0.008727	0.000049	0.000049	0.000033	0.000025
2.420000	-0.079427	0.000000	0.000028	0.000005	0.000049	0.000031
2.429000	-0.080028	-0.004987	0.000010	0.000013	0.000035	0.000025
2.439000	-0.080653	-0.004987	0.000045	0.000044	0.000026	0.000021
2.450000	-0.081389	0.000000	0.000031	0.000051	0.000051	0.000031
2.460000	-0.082089	-0.004987	0.000024	0.000020	0.000052	0.000031
2.469000	-0.082788	-0.004987	0.000016	0.000019	0.000010	0.000014
2.479000	-0.083499	-0.004987	0.000022	0.000022	0.000007	0.000013
2.489000	-0.084198	-0.004987	0.000026	0.000028	0.000005	0.000012
2.500000	-0.084983	-0.004987	0.000020	0.000022	0.000020	0.000002
2.509000	-0.085744	-0.008727	0.000008	0.000005	0.000019	0.000003
2.519000	-0.086566	-0.013575	0.000027	0.000052	0.000003	0.000011
2.529000	-0.087400	-0.013575	0.000041	0.000027	0.000005	0.000015
2.540000	-0.088283	-0.008727	0.000035	0.000032	0.000005	0.000016
2.549000	-0.089081	-0.008727	0.000026	0.000024	0.000006	0.000016
2.559000	-0.089841	-0.008727	0.000014	0.000016	0.000007	0.000015
2.569000	-0.090602	-0.012467	0.000020	0.000025	0.000009	0.000008
2.580000	-0.091448	-0.012467	0.000027	0.000026	0.000018	0.000003
2.589000	-0.092233	-0.020362	0.000009	0.000010	0.000011	0.000017
2.599000	-0.092957	-0.017453	0.000015	0.000013	0.000014	0.000020
2.609000	-0.093668	-0.017453	0.000013	0.000020	0.000014	0.000020
2.620000	-0.094392	-0.017453	0.000017	0.000016	0.000014	0.000020
2.630000	-0.095018	-0.008727	0.000012	0.000007	0.000045	0.000032
2.639000	-0.095594	-0.008727	0.000014	0.000015	0.000038	0.000027
2.649000	-0.096183	-0.008727	0.000017	0.000012	0.000051	0.000031
2.660000	-0.096833	-0.008727	0.000016	0.000004	0.000061	0.000034
2.670000	-0.097410	-0.013575	0.000019	0.000019	0.000060	0.000034
2.679000	-0.097962	-0.017453	0.000019	0.000010	0.000037	0.000025
2.689000	-0.098465	-0.017453	0.000023	0.000021	0.000018	0.000018
2.700000	-0.099017	-0.008727	0.000022	0.000054	0.000019	0.000019
2.710000	-0.099519	-0.013575	0.000016	0.000019	0.000007	0.000014
2.719000	-0.099998	-0.013575	0.000021	0.000018	0.000007	0.000014
2.729000	-0.100489	-0.021332	0.000037	0.000062	0.000022	0.000020
2.739000	-0.100967	-0.017453	0.000045	0.000048	0.000019	0.000019
2.750000	-0.101519	-0.017453	0.000008	0.000005	0.000000	0.000012
2.759000	-0.102022	-0.013963	0.000008	0.000015	0.000004	0.000013
2.769000	-0.102476	-0.013963	0.000008	0.000001	0.000006	0.000014
2.779000	-0.102905	-0.012467	0.000001	0.000015	0.000010	0.000006
2.790000	-0.103310	-0.017453	0.000013	0.000008	0.000010	0.000006
2.799000	-0.103666	-0.017453	0.000016	0.000018	0.000010	0.000006
2.809000	-0.103997	-0.017453	0.000009	0.000009	0.000013	0.000005
2.819000	-0.104316	-0.008727	0.000038	0.000021	0.000014	0.000017
2.830000	-0.104635	-0.008727	0.000049	0.000017	0.000028	0.000023
2.839000	-0.104917	-0.017453	0.000046	0.000052	0.000032	0.000024
2.849000	-0.105199	-0.012467	0.000037	0.000027	0.000033	0.000024
2.859000	-0.105481	-0.012467	0.000038	0.000032	0.000034	0.000025
2.870000	-0.105775	-0.017453	0.000007	0.000009	0.000010	0.000015
2.880000	-0.106045	-0.012467	0.000008	0.000001	0.000009	0.000007
2.889000	-0.106315	-0.012467	0.000023	0.000020	0.000012	0.000006
2.899000	-0.106597	-0.012467	0.000034	0.000037	0.000013	0.000005
2.910000	-0.106892	-0.012467	0.000022	0.000027	0.000014	0.000005
2.920000	-0.107149	-0.012467	0.000015	0.000021	0.000019	0.000003
2.929000	-0.107382	-0.012467	0.000014	0.000013	0.000021	0.000002
2.939000	-0.107603	-0.012467	0.000003	0.000006	0.000022	0.000001
2.950000	-0.107836	-0.008727	0.000005	0.000016	0.000014	0.000005
2.960000	-0.108033	-0.023271	0.000042	0.000123	0.000041	0.000028
2.969000	-0.108229	-0.023271	0.000018	0.000016	0.000078	0.000044
2.979000	-0.108425	-0.008727	0.000051	0.000062	0.000103	0.000054
2.989000	-0.108585	-0.012467	0.000046	0.000046	0.000106	0.000055
3.000000	-0.108756	-0.012467	0.000056	0.000055	0.000098	0.000052
3.009000	-0.108879	-0.017453	0.000022	0.000031	0.000048	0.000031
3.019000	-0.108977	-0.017453	0.000037	0.000043	0.000013	0.000016
3.029000	-0.109063	-0.017453	0.000006	0.000014	0.000010	0.000007
3.040000	-0.109137	-0.013575	0.000010	0.000007	0.000011	0.000006
3.049000	-0.109186	-0.013575	0.000001	0.000001	0.000011	0.000006
3.059000	-0.109210	-0.008727	0.000004	0.000014	0.000002	0.000012
3.069000	-0.109222	-0.012467	0.000001	0.000004	0.000001	0.000011
3.080000	-0.109222	-0.012467	0.000003	0.000000	0.000002	0.000010
3.089000	-0.109222	-0.017453	0.000009	0.000012	0.000004	0.000013
3.099000	-0.109222	-0.022440	0.000011	0.000037	0.000038	0.000027
3.109000	-0.109210	-0.022440	0.000006	0.000004	0.000044	0.000029
3.120000	-0.109210	-0.017453	0.000003	0.000003	0.000044	0.000029
3.130000	-0.109210	-0.022440	0.000005	0.000004	0.000059	0.000036
3.139000	-0.109198	-0.022440	0.000025	0.000029	0.000062	0.000037
3.149000	-0.109173	-0.022440	0.000009	0.000005	0.000034	0.000025
3.160000	-0.109087	-0.022440	0.000005	0.000011	0.000015	0.000017
3.170000	-0.108928	-0.022440	0.000004	0.000014	0.000019	0.000018
3.179000	-0.108683	-0.020362	0.000004	0.000003	0.000004	0.000011
3.189000	-0.108388	-0.020362	0.000012	0.000011	0.000006	0.000007
3.200000	-0.107983	-0.022440	0.000013	0.000025	0.000011	0.000005
3.210000	-0.107579	-0.008727	0.000027	0.000007	0.000042	0.000029
3.219000	-0.107137	-0.008727	0.000079	0.000086	0.000074	0.000045
3.229000	-0.106634	-0.013575	0.000079	0.000084	0.000075	0.000046
3.239000	-0.106119	-0.008727	0.000100	0.000102	0.000091	0.000054
3.250000	-0.105506	-0.008727	0.000085	0.000077	0.000097	0.000058
3.259000	-0.104941	-0.004987	0.000058	0.000047	0.000060	0.000042
3.269000	-0.104377	-0.008727	0.000008	0.000003	0.000025	0.000026
3.279000	-0.103837	-0.008727	0.000010	0.000002	0.000024	0.000025
3.290000	-0.103285	-0.012467	0.000023	0.000021	0.000016	0.000019
3.299000	-0.102807	0.000000	0.000041	0.000033	0.000045	0.000032
3.309000	-0.102329	0.000000	0.000044	0.000031	0.000046	0.000032
3.319000	-0.101850	0.000000	0.000036	0.000018	0.000058	0.000038
3.330000	-0.101335	0.000000	0.000012	0.000023	0.000064	0.000041
3.339000	-0.100881	-0.012467	0.000030	0.000049	0.000100	0.000056
3.349000	-0.100439	0.000000	0.000020	0.000029	0.000071	0.000043
3.359000	-0.100022	0.000000	0.000022	0.000029	0.000054	0.000034
3.370000	-0.099581	0.000000	0.000024	0.000008	0.000044	0.000029
3.380000	-0.099237	-0.008727	0.000006	0.000023	0.000058	0.000034
3.389000	-0.098906	-0.008727	0.000033	0.000047	0.000029	0.000023
3.399000	-0.098587	0.000000	0.000031	0.000032	0.000028	0.000023
3.410000	-0.098244	0.000000	0.000030	0.000026	0.000028	0.000022
3.420000	-0.097925	-0.008727	0.000014	0.000020	0.000042	0.000028
3.429000	-0.097606	0.000000	0.000037	0.000057	0.000027	0.000022
3.439000	-0.097299	0.000000	0.000025	0.000018	0.000016	0.000017
3.450000	-0.096956	-0.008727	0.000022	0.000032	0.000026	0.000022
3.460000	-0.096637	0.000000	0.000009	0.000015	0.000028	0.000022
3.469000	-0.096306	0.000000	0.000001	0.000011	0.000015	0.000017
3.479000	-0.095974	0.000000	0.000012	0.000019	0.000011	0.000015
3.489000	-0.095643	-0.004987	0.000007	0.000006	0.000010	0.000015
3.500000	-0.095251	-0.004987	0.000009	0.000002	0.000005	0.000009
3.509000	-0.094919	-0.004987	0.000010	0.000013	0.000010	0.000007
3.519000	-0.094601	0.000000	0.000035	0.000032	0.000008	0.000007
3.529000	-0.094282	0.000000	0.000019	0.000010	0.000007	0.000008
3.540000	-0.093950	0.000000	0.000021	0.000025	0.000009	0.000007
3.549000	-0.093644	0.000000	0.000030	0.000031	0.000010	0.000007
3.559000	-0.093325	0.000000	0.000033	0.000034	0.000010	0.000006
3.569000	-0.093030	0.000000	0.000022	0.000026	0.000015	0.000005
3.580000	-0.092699	0.000000	0.000027	0.000027	0.000018	0.000003
3.589000	-0.092405	-0.004987	0.000025	0.000035	0.000013	0.000005
3.599000	-0.092123	0.000000	0.000020	0.000015	0.000014	0.000005
3.609000	-0.091841	0.000000	0.000011	0.000013	0.000014	0.000005
3.620000	-0.091522	-0.004987	0.000013	0.000014	0.000008	0.000007
3.630000	-0.091252	0.000000	0.000008	0.000005	0.000007	0.000008
3.639000	-0.090970	0.000000	0.000001	0.000000	0.000013	0.000005
3.649000	-0.090663	-0.004987	0.000009	0.000006	0.000009	0.000007
3.660000	-0.090344	0.000000	0.000012	0.000024	0.000008	0.000008
3.670000	-0.090050	0.000000	0.000007	0.000010	0.000012	0.000005
3.679000	-0.089755	-0.008727	0.000012	0.000015	0.000009	0.000015
3.689000	-0.089473	-0.008727	0.000027	0.000019	0.000023	0.000021
3.700000	-0.089154	0.000000	0.000043	0.000050	0.000026	0.000022
3.710000	-0.088872	-0.012467	0.000037	0.000004	0.000061	0.000037
3.719000	-0.088578	-0.012467	0.000046	0.000017	0.000084	0.000047
3.729000	-0.088271	0.000000	0.000042	0.000073	0.000081	0.000046
3.739000	-0.087940	-0.012467	0.000015	0.000011	0.000088	0.000048
3.750000	-0.087547	-0.012467	0.000015	0.000023	0.000095	0.000052
3.759000	-0.087155	-0.008727	0.000025	0.000029	0.000058	0.000036
3.769000	-0.086750	-0.004987	0.000048	0.000052	0.000038	0.000027
3.779000	-0.086308	-0.004987	0.000023	0.000030	0.000020	0.000020
3.790000	-0.085756	0.000000	0.000026	0.000045	0.000021	0.000020
3.799000	-0.085229	-0.012467	0.000018	0.000066	0.000028	0.000022
