当前时刻	小车位置	摆杆偏角	指标11	指标12	指标2	旧时间	新时间	
2.090000	-0.070509	0.230383	0.000550	0.000549	0.003328	0.000000043	0.000000180
2.101000	-0.070889	0.230383	0.000814	0.000988	0.003960	0.000000018	0.000000302
2.110000	-0.071282	0.244346	0.001246	0.001438	0.008743	0.000000018	0.000000223
2.120000	-0.071723	0.244346	0.001105	0.001133	0.008020	0.000000020	0.000000219
2.130000	-0.072214	0.258309	0.000847	0.000848	0.006557	0.000000045	0.000000139
2.141000	-0.072778	0.270526	0.000936	0.000959	0.007404	0.000000045	0.000000288
2.150000	-0.073306	0.270526	0.000552	0.000557	0.006141	0.000000030	0.000000228
2.160000	-0.073845	0.279253	0.000118	0.000143	0.001443	0.000000044	0.000000175
2.170000	-0.074373	0.296706	0.000569	0.000424	0.003474	0.000000024	0.000000210
2.181000	-0.074949	0.296706	0.000586	0.000630	0.003629	0.000000024	0.000000203
2.190000	-0.075465	0.322886	0.000580	0.000334	0.003870	0.000000047	0.000000173
2.200000	-0.075955	0.322886	0.000606	0.000524	0.004120	0.000000015	0.000000201
2.210000	-0.076434	0.349066	0.000598	0.000555	0.004177	0.000000045	0.000000168
2.221000	-0.076912	0.366519	0.000139	0.000138	0.001760	0.000000044	0.000000178
2.231000	-0.077292	0.366519	0.000563	0.000229	0.003813	0.000000045	0.000000175
2.240000	-0.077636	0.388959	0.000482	0.000500	0.002855	0.000000019	0.000000205
2.250000	-0.077979	0.410152	0.000463	0.000467	0.003011	0.000000039	0.000000190
2.261000	-0.078372	0.410152	0.000769	0.000895	0.005126	0.000000042	0.000000179
2.271000	-0.078777	0.440211	0.000812	0.000834	0.005382	0.000000022	0.000000196
2.280000	-0.079194	0.471239	0.000413	0.000428	0.003197	0.000000019	0.000000186
2.290000	-0.079611	0.471239	0.000669	0.000940	0.004638	0.000000044	0.000000147
2.301000	-0.080065	0.506145	0.000730	0.000697	0.004897	0.000000019	0.000000195
2.311000	-0.080433	0.541052	0.000728	0.000519	0.004144	0.000000045	0.000000200
2.320000	-0.080788	0.541052	0.000677	0.000690	0.003966	0.000000044	0.000000154
2.330000	-0.081119	0.575959	0.000846	0.001017	0.005927	0.000000019	0.000000185
2.340000	-0.081402	0.575959	0.000628	0.000563	0.004873	0.000000024	0.000000205
2.351000	-0.081659	0.614039	0.000604	0.000640	0.004379	0.000000019	0.000000201
2.360000	-0.081868	0.659347	0.000281	0.000327	0.003110	0.000000033	0.000000184
2.370000	-0.082089	0.659347	0.000761	0.000698	0.005161	0.000000026	0.000000206
2.380000	-0.082309	0.692314	0.000654	0.000650	0.003272	0.000000031	0.000000173
2.391000	-0.082542	0.743219	0.001248	0.000996	0.008089	0.000000044	0.000000181
2.400000	-0.082763	0.743219	0.001214	0.001181	0.008045	0.000000023	0.000000286
2.410000	-0.082984	0.783944	0.001198	0.001199	0.007749	0.000000040	0.000000161
2.420000	-0.083217	0.783944	0.000846	0.000723	0.006277	0.000000019	0.000000224
