当前时刻	小车位置	摆杆偏角	指标11	指标12	指标2	deta1	deta2	估计误差	inc11u	inc12u	inc2u	
0.741000	0.003447	-0.003491	0.000003	0.000007	0.000012	0.000014	0.001824	0.000006	0.000003	0.000007	0.000012
0.750000	0.003754	0.000000	0.000005	0.000004	0.000016	0.000010	0.001856	0.000004	0.000005	0.000004	0.000016
0.760000	0.004048	0.000000	0.000003	0.000003	0.000018	0.000007	0.001830	0.000003	0.000003	0.000003	0.000018
0.771000	0.004379	0.002909	0.000014	0.000015	0.000016	0.000010	0.001768	0.000004	0.000014	0.000015	0.000016
0.781000	0.004674	0.000000	0.000015	0.000017	0.000016	0.000010	0.001737	0.000004	0.000015	0.000017	0.000016
0.790000	0.004980	0.000000	0.000012	0.000010	0.000021	0.000005	0.001670	0.000002	0.000012	0.000010	0.000021
0.800000	0.005262	0.000000	0.000011	0.000007	0.000020	0.000005	0.001653	0.000002	0.000011	0.000007	0.000020
0.811000	0.005581	0.004987	0.000001	0.000012	0.000013	0.000013	0.001597	0.000006	0.000001	0.000012	0.000013
0.821000	0.005863	0.004987	0.000007	0.000007	0.000013	0.000013	0.001594	0.000006	0.000007	0.000007	0.000013
0.830000	0.006146	0.000000	0.000011	0.000020	0.000010	0.000016	0.001564	0.000007	0.000011	0.000020	0.000010
0.840000	0.006428	0.000000	0.000014	0.000006	0.000007	0.000019	0.001485	0.000008	0.000014	0.000006	0.000007
0.851000	0.006734	-0.003491	0.000015	0.000025	0.000008	0.000034	0.001391	0.000014	0.000015	0.000025	0.000008
0.861000	0.007004	0.007480	0.000023	0.000014	0.000018	0.000044	0.001280	0.000018	0.000023	0.000014	0.000018
0.870000	0.007262	0.007480	0.000036	0.000044	0.000026	0.000051	0.001182	0.000021	0.000036	0.000044	0.000026
0.880000	0.007519	0.004987	0.000015	0.000015	0.000023	0.000049	0.001117	0.000021	0.000015	0.000015	0.000023
0.891000	0.007802	0.000000	0.000002	0.000005	0.000028	0.000053	0.001119	0.000023	0.000002	0.000005	0.000028
0.901000	0.008047	0.000000	0.000007	0.000009	0.000018	0.000044	0.001085	0.000019	0.000007	0.000009	0.000018
0.910000	0.008268	0.008727	0.000014	0.000008	0.000016	0.000042	0.001061	0.000018	0.000014	0.000008	0.000016
0.920000	0.008476	0.005818	0.000026	0.000030	0.000006	0.000032	0.001014	0.000013	0.000026	0.000030	0.000006
0.931000	0.008697	0.005818	0.000024	0.000019	0.000006	0.000031	0.000909	0.000013	0.000024	0.000019	0.000006
0.941000	0.008881	0.000000	0.000010	0.000030	0.000009	0.000035	0.000811	0.000015	0.000010	0.000030	0.000009
0.950000	0.009065	0.014544	0.000097	0.000151	0.000055	0.000081	0.000743	0.000035	0.000097	0.000151	0.000055
0.960000	0.009225	0.014544	0.000075	0.000030	0.000074	0.000100	0.000781	0.000043	0.000075	0.000030	0.000074
0.971000	0.009409	0.011636	0.000068	0.000065	0.000080	0.000106	0.000835	0.000046	0.000068	0.000065	0.000080
0.981000	0.009543	0.011636	0.000058	0.000044	0.000084	0.000110	0.000852	0.000048	0.000058	0.000044	0.000084
0.991000	0.009654	0.004987	0.000047	0.000022	0.000081	0.000107	0.000832	0.000046	0.000047	0.000022	0.000081
1.000000	0.009727	0.000000	0.016514	0.004063	22.781142	22.781168	0.000777	0.000039	0.000038	0.000032	0.000035
1.010000	0.009777	0.000000	0.016279	0.014486	22.984448	22.984473	0.000645	0.000036	0.000005	0.000003	0.000004
1.021000	0.009789	0.014544	0.016384	0.016511	22.986013	22.986039	0.000483	0.000043	0.000006	0.000010	0.000001
1.031000	0.009801	0.013963	0.016381	0.016368	22.986035	22.986060	0.000398	0.000051	0.000006	0.000014	0.000005
1.040000	0.009801	0.013963	0.016369	0.016385	22.986056	22.986081	0.000390	0.000059	0.000004	0.000010	0.000012
1.050000	0.009789	0.021817	0.000158	0.000142	0.205067	0.205092	0.000482	0.000095	0.000005	0.000003	0.000018
1.061000	0.009789	0.017453	0.000111	0.000125	0.001796	0.001821	0.000574	0.000111	0.000005	0.000006	0.000021
1.071000	0.009789	0.017453	0.000133	0.000191	0.000295	0.000321	0.000628	0.000131	0.000027	0.000085	0.000049
1.080000	0.009789	0.014544	0.000123	0.000113	0.000296	0.000322	0.000553	0.000131	0.000039	0.000030	0.000075
1.090000	0.009789	0.014544	0.000102	0.000122	0.000285	0.000311	0.000465	0.000127	0.000047	0.000067	0.000092
1.101000	0.009777	0.014544	0.000115	0.000118	0.000174	0.000200	0.000378	0.000082	0.000059	0.000063	0.000105
1.111000	0.009777	0.019947	0.000007	0.000027	0.000150	0.000175	0.000301	0.000073	0.000007	0.000027	0.000150
1.120000	0.009764	0.019947	0.000043	0.000066	0.000108	0.000134	0.000267	0.000056	0.000043	0.000066	0.000108
1.130000	0.009703	0.017453	0.000043	0.000037	0.000091	0.000117	0.000353	0.000049	0.000043	0.000037	0.000091
1.141000	0.009543	0.011636	0.000041	0.000038	0.000075	0.000101	0.000440	0.000042	0.000041	0.000038	0.000075
1.151000	0.009323	0.011636	0.000055	0.000061	0.000064	0.000090	0.000584	0.000037	0.000055	0.000061	0.000064
1.160000	0.009028	0.021817	0.000051	0.000009	0.000059	0.000085	0.000854	0.000034	0.000051	0.000009	0.000059
1.170000	0.008685	0.013963	0.000064	0.000064	0.000028	0.000053	0.001065	0.000021	0.000064	0.000064	0.000028
1.181000	0.008268	0.013963	0.000052	0.000052	0.000019	0.000045	0.001406	0.000017	0.000052	0.000052	0.000019
1.191000	0.007838	0.000000	0.000082	0.000100	0.000098	0.000124	0.001902	0.000053	0.000082	0.000100	0.000098
1.200000	0.007372	0.004987	0.000066	0.000080	0.000110	0.000136	0.002946	0.000060	0.000066	0.000080	0.000110
1.210000	0.006857	0.004987	0.000008	0.000005	0.000077	0.000103	0.004086	0.000048	0.000008	0.000005	0.000077
1.221000	0.006244	0.002909	0.000009	0.000006	0.000087	0.000112	0.005333	0.000054	0.000009	0.000006	0.000087
1.231000	0.005655	0.002909	0.000007	0.000008	0.000091	0.000117	0.006500	0.000057	0.000007	0.000008	0.000091
1.241000	0.005103	0.005818	0.000038	0.000036	0.000011	0.000036	0.007457	0.000020	0.000038	0.000036	0.000011
1.250000	0.004514	0.000000	0.000035	0.000017	0.000006	0.000032	0.007555	0.000017	0.000035	0.000017	0.000006
1.260000	0.003999	0.000000	0.000019	0.000019	0.000004	0.000030	0.007472	0.000016	0.000019	0.000019	0.000004
1.271000	0.003435	0.002909	0.000023	0.000026	0.000004	0.000022	0.007255	0.000011	0.000023	0.000026	0.000004
1.281000	0.002944	0.005818	0.000002	0.000003	0.000001	0.000027	0.006749	0.000011	0.000002	0.000003	0.000001
1.290000	0.002478	0.005818	0.000006	0.000005	0.000009	0.000034	0.006036	0.000014	0.000006	0.000005	0.000009
1.300000	0.002024	0.000000	0.000022	0.000036	0.000001	0.000027	0.005431	0.000010	0.000022	0.000036	0.000001
1.311000	0.001521	-0.003491	0.000013	0.000008	0.000007	0.000033	0.004843	0.000013	0.000013	0.000008	0.000007
1.321000	0.001043	-0.003491	0.000015	0.000040	0.000011	0.000037	0.004428	0.000016	0.000015	0.000040	0.000011
1.330000	0.000564	0.000000	0.000010	0.000011	0.000002	0.000028	0.004261	0.000013	0.000010	0.000011	0.000002
1.340000	0.000110	0.000000	0.000012	0.000006	0.000006	0.000020	0.004210	0.000010	0.000012	0.000006	0.000006
1.351000	-0.000393	0.000000	0.000008	0.000009	0.000007	0.000019	0.004188	0.000009	0.000008	0.000009	0.000007
1.361000	-0.000810	0.000000	0.000013	0.000013	0.000016	0.000009	0.004022	0.000004	0.000013	0.000013	0.000016
1.370000	-0.001227	0.000000	0.000023	0.000023	0.000021	0.000005	0.003678	0.000001	0.000023	0.000023	0.000021
1.380000	-0.001619	0.000000	0.000014	0.000020	0.000020	0.000005	0.003260	0.000002	0.000014	0.000020	0.000020
1.391000	-0.002024	0.000000	0.000011	0.000001	0.000020	0.000006	0.002945	0.000002	0.000011	0.000001	0.000020
1.401000	-0.002417	0.000000	0.000017	0.000017	0.000020	0.000006	0.002713	0.000002	0.000017	0.000017	0.000020
1.410000	-0.002809	0.000000	0.000006	0.000004	0.000020	0.000006	0.002539	0.000002	0.000006	0.000004	0.000020
1.420000	-0.003189	-0.004987	0.000005	0.000001	0.000015	0.000011	0.002410	0.000004	0.000005	0.000001	0.000015
1.431000	-0.003631	-0.004987	0.000003	0.000002	0.000013	0.000013	0.002381	0.000006	0.000003	0.000002	0.000013
1.441000	-0.004023	-0.008727	0.000008	0.000005	0.000002	0.000027	0.002409	0.000013	0.000008	0.000005	0.000002
1.450000	-0.004441	-0.008727	0.000008	0.000012	0.000010	0.000036	0.002529	0.000017	0.000008	0.000012	0.000010
1.460000	-0.004858	0.000000	0.000005	0.000016	0.000022	0.000048	0.002666	0.000022	0.000005	0.000016	0.000022
1.471000	-0.005287	-0.004987	0.000004	0.000005	0.000016	0.000042	0.002602	0.000019	0.000004	0.000005	0.000016
1.481000	-0.005643	-0.004987	0.000002	0.000002	0.000013	0.000039	0.002446	0.000017	0.000002	0.000002	0.000013
1.491000	-0.005974	0.000000	0.000026	0.000046	0.000010	0.000035	0.002232	0.000015	0.000026	0.000046	0.000010
1.500000	-0.006305	-0.004987	0.000009	0.000012	0.000001	0.000026	0.001885	0.000010	0.000009	0.000012	0.000001
1.510000	-0.006612	-0.004987	0.000017	0.000018	0.000013	0.000013	0.001541	0.000005	0.000017	0.000018	0.000013
1.521000	-0.006943	-0.008727	0.000023	0.000052	0.000005	0.000020	0.001409	0.000009	0.000023	0.000052	0.000005
1.531000	-0.007225	-0.004987	0.000023	0.000023	0.000005	0.000020	0.001337	0.000009	0.000023	0.000023	0.000005
1.540000	-0.007507	-0.004987	0.000007	0.000006	0.000017	0.000008	0.001262	0.000004	0.000007	0.000006	0.000017
1.550000	-0.007789	-0.008727	0.000004	0.000011	0.000013	0.000013	0.001227	0.000006	0.000004	0.000011	0.000013
1.561000	-0.008084	-0.004987	0.000005	0.000006	0.000012	0.000013	0.001192	0.000006	0.000005	0.000006	0.000012
1.571000	-0.008354	-0.004987	0.000004	0.000002	0.000019	0.000006	0.001123	0.000003	0.000004	0.000002	0.000019
1.580000	-0.008599	-0.003491	0.000006	0.000006	0.000017	0.000009	0.001009	0.000004	0.000006	0.000006	0.000017
1.590000	-0.008844	-0.003491	0.000005	0.000001	0.000015	0.000011	0.000914	0.000005	0.000005	0.000001	0.000015
1.601000	-0.009114	-0.008727	0.000004	0.000000	0.000014	0.000012	0.000844	0.000005	0.000004	0.000000	0.000014
1.611000	-0.009347	0.000000	0.000013	0.000003	0.000001	0.000027	0.000771	0.000011	0.000013	0.000003	0.000001
1.620000	-0.009580	0.000000	0.000012	0.000010	0.000011	0.000037	0.000732	0.000016	0.000012	0.000010	0.000011
1.630000	-0.009801	-0.008727	0.000035	0.000045	0.000020	0.000046	0.000736	0.000019	0.000035	0.000045	0.000020
1.641000	-0.010046	-0.004987	0.000033	0.000034	0.000018	0.000044	0.000736	0.000018	0.000033	0.000034	0.000018
1.651000	-0.010267	-0.004987	0.000029	0.000030	0.000012	0.000038	0.000737	0.000016	0.000029	0.000030	0.000012
1.660000	-0.010488	0.000000	0.000029	0.000040	0.000007	0.000033	0.000734	0.000014	0.000029	0.000040	0.000007
1.670000	-0.010709	-0.008727	0.000033	0.000038	0.000007	0.000033	0.000732	0.000014	0.000033	0.000038	0.000007
